ASVAB01;ASVAB02;ASVAB03;ASVAB04;ASVAB05;ASVAB06;ASVABC;HEIGHT;WEIGHT85;WEIGHT02;W_EXP;EARNINGS;HOURS;SM;SF;SIBLINGS;LIBRARY;POV78;TENURE;COLLBARG;CATGOV;CATPRI;CATSE;URBAN;REGNE;REGNC;REGW;REGS;idd;FEMALE;MALE;ETHBLACK;ETHHISP;ETHWHITE;AGE;S;EDUCPROF;EDUCPHD;EDUCMAST;EDUCBA;EDUCAA;EDUCHSD;EDUCDO;SINGLE;MARRIED;DIVORCED;FAITHN;FAITHP;FAITHC;FAITHJ;FAITHO
25;34;31;22;26;34;30,25;70;145;204;17,65769;9,1;40,1;9;10;3;1;0;16,73077;0;1;0;0;0;0;1;0;0;3640;0;1;0;0;1;37;12;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1
56;43;48;47;52;59;45,25;71;136;178;21,42308;10;35;16;13;2;1;;14,01923;0;0;1;0;1;1;0;0;0;277;0;1;0;0;1;42;12;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0
53;49;49;51;38;42;49,5;70;169;196;23,27308;20,6;48;11;8;3;0;0;15,01923;0;0;1;0;1;0;0;1;0;5167;0;1;0;0;1;42;12;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0
57;37;43;39;34;30;39;70;166;182;21,02308;9,97;40;12;12;10;0;0;3,942308;1;0;1;0;1;0;1;0;0;2578;0;1;0;0;1;41;12;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0
57;51;59;53;41;45;53,5;70;175;222;22,30385;12,4;;11;9;4;1;0;4,673077;0;0;1;0;1;0;0;0;1;2998;0;1;0;0;1;41;12;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0
39;39;41;30;40;40;37,25;75;166;175;15,67692;12,4;50,1;12;8;2;0;0;14,07692;0;0;1;0;0;1;0;0;0;3055;0;1;0;0;1;39;12;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0
53;38;41;35;29;38;38;74;171;210;15,94231;15;40;12;7;3;1;0;7,076923;0;0;1;0;1;0;0;1;0;5211;0;1;0;0;1;38;12;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0
55;49;55;51;46;34;51;74;241;271;15,35;13,71;53,9;12;16;1;1;;7,211538;0;0;1;0;1;0;1;0;0;5344;0;1;0;0;1;38;16;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0
53;48;57;61;54;47;53,5;63;141;155;13,90769;14,32;40;12;12;4;0;0;13,11539;0;0;1;0;0;0;1;0;0;1975;0;1;0;0;1;38;12;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0
52;56;56;52;49;41;55;69;216;230;17,90385;30;48,1;12;12;3;1;0;22,73077;1;0;1;0;1;0;1;0;0;3494;0;1;0;0;1;45;13;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0
54;62;57;45;61;41;56,5;72;195;189;15,09615;;16,1;14;12;1;1;0;8,153846;0;0;1;0;1;1;0;0;0;4698;0;1;0;0;1;38;16;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0
39;45;29;37;38;44;39;73;149;184;20,94615;20,79;47;13;8;2;1;0;10,73077;0;0;1;0;1;0;0;0;1;2419;0;1;0;0;1;39;10;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0
64;59;61;58;58;52;59,25;73;151;151;18,32308;19,55;40,1;12;9;3;0;0;8,403846;0;0;1;0;0;0;1;0;0;3616;0;1;0;0;1;39;12;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0
61;46;60;54;41;44;51,5;72;169;211;21,94615;19,23;40;12;16;1;1;0;7,346154;1;1;0;0;1;1;0;0;0;417;0;1;0;0;1;41;12;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0
63;62;56;60;47;51;;69;134;170;21,46154;86,63;50,1;12;18;0;1;0;6,769231;0;0;1;0;1;1;0;0;0;269;0;1;0;0;1;43;16;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0
45;39;52;57;46;46;46,75;67;209;224;14,25;11,21;44,9;12;12;1;1;0;1,076923;0;0;1;0;1;0;0;0;1;12044;0;1;0;0;1;40;18;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0
38;40;42;47;43;44;42,25;63;154;220;20,83077;23,07;40,1;11;11;3;1;0;12,30769;1;1;0;0;1;0;0;0;1;3932;0;1;1;0;0;40;12;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0
43;45;37;45;50;51;43;65;156;170;15,51539;13,08;40;2;0;6;1;1;8,115385;1;0;1;0;0;0;0;1;0;1837;0;1;0;1;0;45;13;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0
59;51;55;55;57;32;53;;196;209;23,26923;27,77;45,1;12;16;0;1;0;2;0;0;1;0;0;0;0;0;1;1107;0;1;0;0;1;45;12;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0
64;64;62;50;61;71;60;70;169;169;22,86539;38,14;46,1;16;17;0;1;0;20,73077;0;0;1;0;1;0;0;0;1;5017;0;1;0;0;1;42;14;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0
52;39;50;60;43;44;47;74;196;239;20,92308;18,47;45,1;12;12;3;1;1;5,480769;0;0;1;0;2;0;1;0;0;3751;0;1;0;0;1;38;12;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0
65;67;55;60;63;71;62,25;76;230;235;19,98077;16,76;45;16;17;2;1;0;3,692308;0;1;0;0;1;0;0;0;1;5651;0;1;0;0;1;44;18;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0
65;53;52;44;45;44;50,5;72;149;189;20,85;43,65;39,9;12;14;2;1;0;19,03846;1;0;1;0;1;0;1;0;0;4707;0;1;0;0;1;37;12;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
51;46;48;49;50;45;47,25;68;154;176;22,54231;35,61;35;11;11;8;1;0;7,057693;1;1;0;0;1;1;0;0;0;847;0;1;1;0;0;43;16;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1
55;53;50;48;41;41;51;75;294;400;22,73461;11,22;45,1;10;11;1;0;0;2,134615;0;0;1;0;1;0;0;0;1;2191;0;1;0;0;1;44;12;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0
52;51;51;49;56;50;50,5;67;155;174;20,68846;40,96;40,1;5;6;8;1;1;0,9423077;0;0;1;0;1;0;0;0;1;2703;0;1;0;1;0;42;16;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0
55;54;57;52;55;52;54,25;68;170;181;23,52308;;40;11;12;3;0;0;7,192307;1;0;1;0;1;0;1;0;0;3777;0;1;0;0;1;42;12;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0
53;53;55;49;59;47;52,5;70;141;141;21,46154;11,9;50;14;14;1;1;0;6,480769;0;0;1;0;1;0;0;1;0;5187;0;1;0;0;1;41;13;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0
63;58;58;49;54;63;55,75;71;224;260;23,30769;19,46;40;12;12;6;1;0;14,76923;0;0;1;0;1;0;0;0;1;4278;0;1;0;0;1;42;12;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0
40;60;41;48;56;51;52,25;74;165;211;17,90385;21;40,1;12;16;5;1;0;4,961538;1;0;1;0;1;0;1;0;0;659;0;1;0;0;1;43;14;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0
61;63;57;60;52;50;;71;170;176;14,32692;30,86;59,9;13;18;4;1;0;14,26923;0;0;1;0;2;0;1;0;0;4829;0;1;0;0;1;39;16;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0
49;61;53;58;59;48;58,25;70;164;184;23,08077;26,72;37,9;12;12;6;0;0;21,03846;1;0;1;0;1;0;1;0;0;3591;0;1;0;0;1;41;12;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0
45;46;42;35;42;48;42,25;65;159;200;19,15769;25;40,1;10;6;4;0;0;0,1346154;0;0;1;0;0;0;0;0;1;1471;0;1;0;0;1;44;8;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0
45;57;44;46;50;50;51;72;145;190;19,11154;13,85;39,9;12;10;3;1;0;13,63461;1;0;1;0;1;0;1;0;0;4770;0;1;0;0;1;38;12;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0
62;54;53;56;62;55;54,25;69;150;184;19,30769;17,7;40;10;12;5;1;0;13,34615;0;0;1;0;0;0;1;0;0;2475;0;1;0;0;1;39;12;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0
61;53;61;59;61;57;56,5;73;169;181;18,06154;47;45;16;18;1;0;0;3,326923;0;0;1;0;1;0;0;1;0;2010;0;1;0;0;1;44;19;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0
57;53;58;60;54;38;56;75;171;175;20,41923;10,37;40;11;14;0;1;1;8,365385;0;0;1;0;1;0;1;0;0;4879;0;1;0;0;1;44;12;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0
61;63;62;55;43;44;60,75;72;201;251;18,69231;18,95;;12;12;1;1;0;15,13461;1;0;1;0;1;0;0;0;1;4064;0;1;0;0;1;38;12;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0
56;63;60;62;51;56;62;67;150;180;14,11154;23,07;60;16;17;4;1;0;13,73077;1;1;0;0;1;0;1;0;0;874;0;1;0;0;1;38;18;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0
61;58;56;52;47;51;56;69;201;299;20,28461;14,1;39,9;10;10;3;1;0;3,942308;0;0;1;0;1;0;0;0;1;3493;0;1;0;0;1;44;12;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0
48;55;50;50;48;50;52,5;67;148;171;12,55385;24,13;19,9;8;4;3;1;0;3,230769;0;0;1;0;1;0;0;1;0;1851;0;1;0;1;0;43;14;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0
66;67;62;58;62;45;63,5;68;155;149;10,94231;25,98;37;17;20;3;1;0;5,269231;1;1;0;0;1;0;0;0;1;2845;0;1;0;0;1;39;20;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0
65;54;59;52;50;52;54,75;72;201;250;18,35;29,6;40;12;16;2;1;0;6,134615;1;0;1;0;1;0;0;1;0;4468;0;1;0;0;1;43;13;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0
69;67;61;60;44;46;63,75;70;225;231;8,85;15,4;40,1;12;8;2;1;0;4,711538;1;1;0;0;1;0;1;0;0;4799;0;1;0;0;1;40;18;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0
67;65;59;63;61;63;63;69;138;144;15,82308;3,46;60;16;20;2;1;;11,09615;1;0;1;0;1;0;1;0;0;3172;0;1;0;0;1;43;20;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0
37;37;33;36;29;29;;69;159;176;14,78846;11,9;44,9;10;12;7;1;1;1,692308;0;0;1;0;0;0;0;0;1;4068;0;1;0;0;1;39;8;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0
43;38;47;47;40;38;42,5;72;189;210;21,52308;12,29;40,1;10;6;6;0;1;18,59615;0;0;1;0;0;0;1;0;0;5307;0;1;0;0;1;42;12;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0
49;39;48;32;32;36;39,5;73;167;204;22,81154;14,67;40,1;11;11;2;1;0;2,288461;0;1;0;0;1;0;0;1;0;4335;0;1;0;0;1;42;11;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0
68;66;61;61;62;69;63,5;73;169;166;17,47692;52,75;55;14;16;1;1;0;9,538462;0;0;1;0;1;0;0;0;1;5029;0;1;0;0;1;40;16;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0
47;40;38;37;36;43;38,75;70;179;234;16,4;13,4;39,9;12;8;5;1;0;14,25;0;0;1;0;1;0;0;1;0;4412;0;1;0;1;0;39;12;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0
65;66;59;60;56;55;62,75;68;155;154;17,92308;29,11;50,9;16;13;0;0;0;7,538462;0;1;0;0;1;0;1;0;0;653;0;1;0;0;1;42;18;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1
65;59;60;58;63;52;59;70;175;179;18,86154;29,15;44,9;16;16;2;1;0;17,92308;0;0;1;0;1;0;0;1;0;825;0;1;0;0;1;44;17;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0
53;48;60;53;44;49;52,25;68;235;310;23,18846;37,88;57,1;9;10;0;1;0;14,88461;0;0;1;0;0;0;0;0;1;3829;0;1;0;0;1;43;12;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0
65;67;57;52;61;66;60,75;68;184;241;16,48461;30,45;45;17;17;2;1;0;2,692308;0;0;1;0;1;0;1;0;0;3390;0;1;1;0;0;42;20;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
21;36;23;28;28;26;30,75;64;200;195;20,86539;12,65;49,9;9;10;3;1;0;1,75;1;1;0;0;0;0;0;0;1;5604;0;1;0;0;1;42;9;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1
53;60;54;55;47;31;57,25;;296;246;3,811539;5,6;57,9;9;12;3;1;0;0,5961539;0;0;1;0;1;0;0;1;0;5207;0;1;0;0;1;43;14;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0
44;45;39;23;39;42;38;71;185;249;17,63461;25,58;40;10;12;3;1;0;4,980769;1;1;0;0;1;0;0;1;0;5235;0;1;0;0;1;38;14;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0
59;62;51;57;56;46;58;70;181;189;18,13846;16,43;50;12;12;2;1;0;13,55769;0;0;1;0;0;0;0;0;1;1188;0;1;0;0;1;39;15;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0
63;65;60;62;52;57;63;69;216;229;22,6;19,23;40,1;11;12;3;1;0;24,82692;0;0;1;0;1;1;0;0;0;392;0;1;0;0;1;42;12;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0
49;57;52;52;52;53;54,5;71;134;150;16,18846;20,02;38;12;12;2;1;0;5,326923;0;0;1;0;1;0;0;1;0;1788;0;1;0;0;1;37;12;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0
61;46;61;55;46;49;;73;176;213;18,55769;14;50;8;12;1;0;0;3,346154;0;0;1;0;0;0;0;0;1;1085;0;1;0;0;1;41;12;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0
29;34;28;29;40;31;31,25;67;144;164;21,46539;12;40,1;11;10;6;0;0;16,61539;1;1;0;0;1;0;0;0;1;1527;0;1;1;0;0;45;12;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0
58;51;55;58;40;45;53,75;74;151;186;19,82308;22,39;44,1;12;12;1;1;0;17,46154;0;1;0;0;1;0;0;0;1;2330;0;1;0;0;1;40;14;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0
59;50;57;56;54;55;53,25;72;209;246;10,78846;7,9;40,1;12;12;3;1;0;0,0576923;0;0;1;0;1;0;0;1;0;1612;0;1;0;0;1;40;15;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1
61;65;57;53;47;45;60;69;164;176;13,98461;18,8;45,1;12;12;3;1;0;3,019231;0;0;1;0;1;0;0;0;1;146;0;1;0;0;1;38;12;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0
60;53;50;58;61;38;53,5;73;159;191;11,85;18,09;50,9;12;12;1;1;0;2,711539;0;0;1;0;0;0;0;1;0;4552;0;1;0;0;1;38;15;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0
64;65;56;60;62;58;61,5;74;181;204;15,97692;29,55;47,1;17;16;1;1;0;7,307693;0;0;1;0;0;0;0;0;1;2291;0;1;0;0;1;37;16;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0
55;37;43;50;47;48;41,75;72;190;211;23,13846;21,29;40;12;12;5;0;0;7,596154;1;0;1;0;0;1;0;0;0;3059;0;1;0;0;1;45;12;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0
46;43;34;33;21;29;38,25;70;205;208;15,22692;9,7;50;10;10;2;0;0;12,76923;0;0;1;0;0;0;0;0;1;2122;0;1;0;0;1;43;12;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0
69;66;61;59;50;55;63;69;161;185;16,19615;47;45;16;16;6;1;0;13,94231;0;0;1;0;1;0;1;0;0;3431;0;1;0;0;1;38;17;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0
45;44;47;42;55;56;44,25;69;146;172;21,80385;15,45;45,1;12;9;1;1;0;3,442308;0;0;1;0;0;0;0;0;1;5586;0;1;0;0;1;41;12;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0
53;36;53;41;43;41;41,5;70;199;217;23,35;14,7;49,9;14;14;1;1;0;2,826923;0;0;1;0;1;0;0;0;1;4159;0;1;0;0;1;41;12;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0
49;56;47;54;54;54;53,25;71;195;201;20,33077;16,51;40,1;12;12;5;0;0;11,59615;1;0;1;0;0;1;0;0;0;1859;0;1;0;0;1;44;12;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0
53;53;57;49;50;39;53;72;171;236;22,9;20,29;50,1;12;12;4;1;0;1,769231;0;0;1;0;1;0;0;1;0;3706;0;1;0;0;1;45;13;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0
67;66;59;59;53;49;62,5;67;165;209;14,15769;52,98;40;20;20;1;1;1;14,05769;1;1;0;0;1;0;0;0;1;3690;0;1;0;0;1;40;18;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0
58;62;55;44;50;50;55,75;71;191;225;18,38461;25;49,9;11;12;3;1;0;3,288461;0;0;1;0;1;1;0;0;0;393;0;1;0;0;1;39;13;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0
41;36;30;28;32;35;32,5;66;159;161;21,53846;7,54;35,9;8;9;3;1;1;0,8653846;0;0;1;0;1;1;0;0;0;1887;0;1;0;0;1;41;12;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0
45;50;47;53;42;43;50;70;158;160;23,07692;11,88;43,9;12;12;6;1;0;4,788462;0;0;1;0;1;0;1;0;0;2086;0;1;0;0;1;43;12;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0
52;55;52;58;52;45;55;66;135;164;18,63846;25,6;39,9;13;13;5;1;;16,63461;1;0;1;0;1;0;0;1;0;1677;0;1;0;0;1;39;12;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0
39;41;34;50;36;42;41,5;;160;220;18,55385;14,04;40;12;12;0;0;0;2,615385;0;0;1;0;1;1;0;0;0;3310;0;1;1;0;0;39;12;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0
50;59;55;43;60;47;54;75;175;241;15,15385;21,97;40;12;12;1;1;0;2,134615;0;0;1;0;1;0;0;0;1;11809;0;1;0;0;1;38;16;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0
67;34;61;56;54;55;46,25;72;159;186;14,52308;27,24;40;12;16;2;1;0;1,519231;0;0;1;0;1;0;0;1;0;3588;0;1;0;0;1;40;18;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1
53;49;50;53;51;32;50,25;69;190;220;15,18846;14,24;53,9;11;3;4;0;0;0,7692308;0;0;1;0;0;0;0;0;1;5222;0;1;0;1;0;39;16;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0
59;55;57;44;52;55;52,75;73;149;176;12,40385;33,82;40,1;16;16;2;1;0;11,25;1;1;0;0;1;0;0;1;0;1916;0;1;0;0;1;39;19;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0
53;58;50;57;62;61;55,75;71;164;211;20,32308;55,1;50;12;12;1;0;0;14,53846;0;0;1;0;1;0;0;0;1;2033;0;1;0;0;1;39;12;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0
48;53;54;49;48;53;52,25;71;144;175;16,05769;16,25;42;15;14;2;1;0;4,692307;0;0;1;0;0;0;1;0;0;11889;0;1;0;0;1;38;17;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1
61;50;59;56;61;57;53,75;74;184;189;20,86539;;49,9;12;12;3;1;1;9,134615;0;0;1;0;1;0;0;0;1;3581;0;1;0;0;1;44;16;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0
57;57;52;45;62;58;52,75;69;156;186;16,32692;33,92;52,1;16;17;1;1;0;19,78846;0;0;1;0;1;0;0;1;0;198;0;1;0;0;1;39;18;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0
69;60;59;56;62;56;58,75;72;186;211;1,407692;127,9;10,1;12;14;1;1;0;1,307692;0;0;0;0;1;0;0;0;1;4907;0;1;0;0;1;42;20;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1
48;53;54;53;55;46;53,25;70;163;168;14,92308;17,44;54;12;13;1;1;0;4,923077;0;1;0;0;1;0;1;0;0;562;0;1;0;0;1;40;20;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0
45;50;46;34;47;45;45;71;181;195;20,06154;25,5;45,1;12;12;2;1;0;6,980769;1;0;1;0;0;0;1;0;0;3479;0;1;0;0;1;38;12;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0
53;55;55;60;51;44;56,25;70;164;196;23,03846;10,78;45,1;12;11;2;0;0;2,153846;0;0;1;0;1;0;0;1;0;5263;0;1;0;0;1;45;14;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0
41;43;37;28;40;29;37,75;66;179;211;19,80385;16,06;39,9;12;14;3;1;1;18,92308;1;0;1;0;0;0;1;0;0;5291;0;1;0;0;1;39;12;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0
49;58;51;49;50;53;54;66;143;176;15,55769;14,11;40,1;6;6;4;1;0;3,461539;0;0;1;0;0;0;0;0;1;4129;0;1;0;0;1;39;14;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0
57;50;54;56;53;57;52,5;70;160;179;9,673077;31,15;40,1;13;16;3;1;0;4,826923;0;0;1;0;1;0;0;1;0;12106;0;1;0;0;1;38;18;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1
36;44;49;48;50;47;46,25;66;136;160;13,44231;39,9;50,1;12;15;2;1;0;5,461538;0;1;0;0;1;0;0;0;1;11972;0;1;0;1;0;40;20;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0
57;54;53;54;42;40;53,75;73;181;198;13,32308;19,4;52,9;12;12;3;1;0;3,846154;0;0;1;0;1;0;1;0;0;4765;0;1;0;0;1;38;12;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0
59;52;58;60;53;57;55,5;74;184;256;13,24615;21,07;54,9;14;16;1;1;0;1,692308;0;0;1;0;0;1;0;0;0;445;0;1;0;0;1;37;16;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0
49;46;48;43;45;52;45,75;70;179;201;17,43846;7,64;39,9;11;11;3;0;0;2,538461;0;0;1;0;0;0;0;1;0;1591;0;1;0;0;1;39;12;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0
61;66;62;59;61;62;63,25;73;200;225;14,30769;33,55;40,1;12;14;2;1;0;2,230769;0;0;1;0;1;1;0;0;0;3141;0;1;0;0;1;40;16;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0
58;58;50;47;45;45;53,25;71;139;171;13,95769;22,1;40;13;12;1;1;0;0,0192308;0;0;1;0;0;0;0;1;0;4348;0;1;0;0;1;38;14;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0
63;56;61;60;49;46;58,25;69;185;231;17,59231;18,7;39,9;20;20;2;1;0;16,03846;1;1;0;0;1;0;0;1;0;12068;0;1;0;1;0;39;16;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0
45;33;34;43;37;41;35,75;64;110;141;15,33077;15,48;39,9;9;10;2;0;1;11,09615;0;1;0;0;0;0;0;0;1;2767;0;1;0;0;1;38;14;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1
63;57;58;54;58;36;56,5;72;181;200;12,92308;26,41;50,1;12;16;2;1;0;4,269231;0;0;1;0;1;0;1;0;0;2005;0;1;0;0;1;38;16;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0
56;62;59;62;58;50;61,25;70;176;241;20,26539;16,78;41;12;12;4;1;0;11,86539;0;0;1;0;0;0;1;0;0;5377;0;1;0;0;1;41;14;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0
